"material","description","product_hierarchy","division","gpr","basic_material","dimensions","min_lot","weight_net","weight_net_unit","weight_gross","weight_gross_unit"
"122.234.870.001","ZENTRALSCHRAUBE!D300/153X270","0003-4200","04","K131","30CRNIMO8","D300/153X270","","101.000","KG","101.000","KG"
"122.234.877.001","INNENRING!D236/114X82","0003-4200","04","K211.1","Spez.CrNiMo.3","D236/114X82","","21.585","KG","21.585","KG"
"122.234.877.003","AUSSENRING!D366/235X82","0003-4200","04","K211.1","30CRNIMO8","D366/235X82","","39.801","KG","39.801","KG"
"122.234.877.200","FUEHRUNGSR. NR.7!D365/115,5X80","0009-9900","04","K311","","D365/115,5X80","","55.000","KG","55.000","KG"
"122.234.878.200","KAMMERRING NR.8!D365/115,5X51","0003-4200","04","K311","","D365/115,5X51","","33.603","KG","33.603","KG"
"122.235.127.001","KUPPLUNGSMUTTER!D216/111X114","0009-9900","","K131","S355J2+N","D216/111X114","4.000","12.500","KG","12.500","KG"
"122.235.145.201","PLUNGERKUPPLUNG!D216/110","0003-4200","04","K600","","D216/110","","15.200","KG","15.200","KG"
"122.235.178.200","DICHTRING KOMPL.!D157/120,6X59","0003-4200","04","K600","GZ-CUSN7ZNPB","D157/120,6X59","5.000","2.850","KG","2.850","KG"
"122.235.189.001","FEDERFUEHRUNG!M100/52X164","0003-4200","04","K393","34CRNIMO6","M100/52X164","7.000","4.400","KG","4.400","KG"
"122.235.190.001","FEDERFUEHRUNG!M125/64X165","0003-4200","04","K393","34CRNIMO6","M125/64X165","6.000","5.500","KG","5.500","KG"
"122.235.192.200","ZENTRALVENTIL K6!D195X406","0003-4200","04","K600","","D195X406","","71.000","KG","71.000","KG"
"122.235.241.200","GEHAEUSE!D218/157X55","0003-4200","04","K211","S355J2+N","D218/157X55","","3.200","KG","3.200","KG"
"122.235.242.001","GEHAEUSE!D220/157X49","0003-4200","04","K211","S355J2+N","D220/157X49","","5.600","KG","5.600","KG"
