to_char, description, time_measured, time_planned, delay
2018-02-05, RUNDSCHLEIFMASCH., 585000.000, 106200.000, 133.0000000000000000
2018-02-05, SCHLEIF. HYPER KOMP, 649980.000, 155880.000, 137.25000000000000000000
2018-02-05, SCHLEIFEN, GRATEN, VERPUTZEN, 1519200.000, 206460.000, 364.65000000000000000000
2018-02-05, SCHLOSSER VERP. GTF, 329760.000, 167760.000, 45.00000000000000000000
2018-02-05, SP.-DREHEN GROSS, 149400.000, 68400.000, 22.5000000000000000
2018-02-05, SP.-DREHEN KLEIN, 64260.000, 30060.000, 9.5000000000000000
2018-02-05, ZELLE FRÄSEN/BOHREN, 32940.000, 22140.000, 3.00000000000000000000
2018-02-12, ABSÄGEN OPTIMO, 2175000.000, 179732.000, 554.70777777777777787834
2018-02-12, AUTOFRETTAGE, 33300.000, 22500.000, 3.0000000000000000
2018-02-12, BAZ-MA-400HA, 2840400.000, 222336.000, 727.2400000000000000
2018-02-12, BOHRWERK SCHARMANN, 209700.000, 152100.000, 15.5000000000000000
2018-02-12, CNC-VERT.-DREHEN DS, 270480.000, 259200.000, 2.53333333333333330000
2018-02-12, DBAZ MCT 350-2000, 325980.000, 129420.000, 53.85000000000000000000
2018-02-12, DBAZ MCT 550-2000, 2146320.000, 521136.000, 449.69000000000000000000
2018-02-12, DBAZ MCT 550-3000, 760980.000, 159480.000, 167.08333333333333330000
2018-02-12, DBAZ MCT 550-RS, 613620.000, 375660.000, 65.1000000000000000
2018-02-12, DBAZ MULTUS B200, 6280020.000, 210852.000, 1685.88000000000000000000
2018-02-12, DBAZ MULTUS B400, 2571840.000, 222840.000, 652.5000000000000000
2018-02-12, DRUCKPR. KLEINTEILE, 194400.000, 29160.000, 46.8000000000000000
2018-02-12, DRUCKPROBE SERV, 35100.000, 13500.000, 6.00000000000000000000
2018-02-12, DRUCKPRÜFUNG, 181800.000, 162900.000, 6.0000000000000000
